"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1274","Navigation from login page to registration page","LMS system","Sat Jan 10 16:45:53 UTC 2026","passed","Sat Jan 10 16:45:54 UTC 2026","Authorization","Authentication","",""
"","1648","User login with wrong email or password","LMS system","Sat Jan 10 16:45:49 UTC 2026","passed","Sat Jan 10 16:45:51 UTC 2026","Authorization","Authentication","",""
"","2990","User login with correct email and password","LMS system","Sat Jan 10 16:45:49 UTC 2026","passed","Sat Jan 10 16:45:52 UTC 2026","Authorization","Authentication","",""
"","2935","Edit course","LMS system","Sat Jan 10 16:45:58 UTC 2026","passed","Sat Jan 10 16:46:01 UTC 2026","Courses","Courses","",""
"","1363","Check displaying of empty courses list","LMS system","Sat Jan 10 16:45:55 UTC 2026","passed","Sat Jan 10 16:45:57 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Sat Jan 10 16:45:59 UTC 2026","passed","Sat Jan 10 16:45:59 UTC 2026","","test_markers","",""
"","1523","Check displaying of dashboard page","LMS system","Sat Jan 10 16:46:01 UTC 2026","passed","Sat Jan 10 16:46:02 UTC 2026","Dashboard","Dashboard","",""
"","2206","Create course","LMS system","Sat Jan 10 16:45:57 UTC 2026","passed","Sat Jan 10 16:45:59 UTC 2026","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Sat Jan 10 16:45:59 UTC 2026","passed","Sat Jan 10 16:45:59 UTC 2026","TestUserInterface","test_markers","",""
"","1542","User login with wrong email or password","LMS system","Sat Jan 10 16:45:51 UTC 2026","passed","Sat Jan 10 16:45:53 UTC 2026","Authorization","Authentication","",""
"","1","test_regression_case","tests.pytest","Sat Jan 10 16:45:59 UTC 2026","passed","Sat Jan 10 16:45:59 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Sat Jan 10 16:45:59 UTC 2026","passed","Sat Jan 10 16:45:59 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Sat Jan 10 16:45:59 UTC 2026","passed","Sat Jan 10 16:45:59 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Sat Jan 10 16:45:59 UTC 2026","passed","Sat Jan 10 16:45:59 UTC 2026","TestUserAuthentication","test_markers","",""
"","1365","User login with wrong email or password","LMS system","Sat Jan 10 16:45:53 UTC 2026","passed","Sat Jan 10 16:45:54 UTC 2026","Authorization","Authentication","",""
"","1462","Registration with correct email, username and password","LMS system","Sat Jan 10 16:45:55 UTC 2026","passed","Sat Jan 10 16:45:56 UTC 2026","Registration","Authentication","",""
